category1,category2,replicate,c1_is,count,fit_sim,ratio_in_rep
others,others,1,mutualism,0,500,0
others,others,1,commensal_Host_of_c2,0,500,0
others,others,1,prey/host_of_c2,0,500,0
others,others,1,commensal_of_c2,0,500,0
others,others,1,neutral/no_interaction,0,500,0
others,others,1,harmed_by_c2,0,500,0
others,others,1,predator/parasite_of_c2,0,500,0
others,others,1,harming_c2,0,500,0
others,others,1,competition,500,500,1
others,Aspergillus,1,mutualism,422,500,0.844
others,Aspergillus,1,commensal_Host_of_c2,0,500,0
others,Aspergillus,1,prey/host_of_c2,1,500,0.002
others,Aspergillus,1,commensal_of_c2,0,500,0
others,Aspergillus,1,neutral/no_interaction,0,500,0
others,Aspergillus,1,harmed_by_c2,0,500,0
others,Aspergillus,1,predator/parasite_of_c2,77,500,0.154
others,Aspergillus,1,harming_c2,0,500,0
others,Aspergillus,1,competition,0,500,0
others,Candida,1,mutualism,196,500,0.392
others,Candida,1,commensal_Host_of_c2,0,500,0
others,Candida,1,prey/host_of_c2,304,500,0.608
others,Candida,1,commensal_of_c2,0,500,0
others,Candida,1,neutral/no_interaction,0,500,0
others,Candida,1,harmed_by_c2,0,500,0
others,Candida,1,predator/parasite_of_c2,0,500,0
others,Candida,1,harming_c2,0,500,0
others,Candida,1,competition,0,500,0
others,Haemophilus,1,mutualism,500,500,1
others,Haemophilus,1,commensal_Host_of_c2,0,500,0
others,Haemophilus,1,prey/host_of_c2,0,500,0
others,Haemophilus,1,commensal_of_c2,0,500,0
others,Haemophilus,1,neutral/no_interaction,0,500,0
others,Haemophilus,1,harmed_by_c2,0,500,0
others,Haemophilus,1,predator/parasite_of_c2,0,500,0
others,Haemophilus,1,harming_c2,0,500,0
others,Haemophilus,1,competition,0,500,0
others,Mycobacterium,1,mutualism,174,500,0.348
others,Mycobacterium,1,commensal_Host_of_c2,0,500,0
others,Mycobacterium,1,prey/host_of_c2,0,500,0
others,Mycobacterium,1,commensal_of_c2,0,500,0
others,Mycobacterium,1,neutral/no_interaction,0,500,0
others,Mycobacterium,1,harmed_by_c2,0,500,0
others,Mycobacterium,1,predator/parasite_of_c2,326,500,0.652
others,Mycobacterium,1,harming_c2,0,500,0
others,Mycobacterium,1,competition,0,500,0
others,Mycobacteroides,1,mutualism,306,500,0.612
others,Mycobacteroides,1,commensal_Host_of_c2,0,500,0
others,Mycobacteroides,1,prey/host_of_c2,169,500,0.338
others,Mycobacteroides,1,commensal_of_c2,0,500,0
others,Mycobacteroides,1,neutral/no_interaction,0,500,0
others,Mycobacteroides,1,harmed_by_c2,0,500,0
others,Mycobacteroides,1,predator/parasite_of_c2,25,500,0.05
others,Mycobacteroides,1,harming_c2,0,500,0
others,Mycobacteroides,1,competition,0,500,0
others,Pseudomonas,1,mutualism,0,500,0
others,Pseudomonas,1,commensal_Host_of_c2,0,500,0
others,Pseudomonas,1,prey/host_of_c2,149,500,0.298
others,Pseudomonas,1,commensal_of_c2,0,500,0
others,Pseudomonas,1,neutral/no_interaction,0,500,0
others,Pseudomonas,1,harmed_by_c2,0,500,0
others,Pseudomonas,1,predator/parasite_of_c2,101,500,0.202
others,Pseudomonas,1,harming_c2,0,500,0
others,Pseudomonas,1,competition,250,500,0.5
others,Staphylococcus,1,mutualism,20,500,0.04
others,Staphylococcus,1,commensal_Host_of_c2,0,500,0
others,Staphylococcus,1,prey/host_of_c2,480,500,0.96
others,Staphylococcus,1,commensal_of_c2,0,500,0
others,Staphylococcus,1,neutral/no_interaction,0,500,0
others,Staphylococcus,1,harmed_by_c2,0,500,0
others,Staphylococcus,1,predator/parasite_of_c2,0,500,0
others,Staphylococcus,1,harming_c2,0,500,0
others,Staphylococcus,1,competition,0,500,0
