year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2009,0.998285714285714,1,0.997428571428571,1,1,1,0.718285714285714,0.999428571428571,1,0.998,1
2010,0.997714285714286,0.999714285714286,0.986571428571429,0.999428571428571,1,1,0.713714285714286,0.999428571428571,1,0.998285714285714,1
2011,0.997714285714286,0.998857142857143,0.985428571428571,0.999428571428571,1,1,0.713714285714286,0.999428571428571,1,0.997428571428571,1
2012,0.997714285714286,0.998285714285714,0.985428571428571,0.999428571428571,1,1,0.713714285714286,0.998857142857143,1,0.997714285714286,1
2013,0.997714285714286,0.998,0.985428571428571,0.999428571428571,1,1,0.713714285714286,0.998285714285714,1,0.998,1
2014,0.997714285714286,0.998,0.985428571428571,0.999428571428571,1,1,0.713714285714286,0.998285714285714,1,0.996285714285714,1
2015,0.997428571428571,0.998,0.985428571428571,0.999428571428571,1,1,0.713714285714286,0.998285714285714,1,0.996571428571429,1
2016,0.986285714285714,0.997714285714286,0.985428571428571,0.976571428571429,1,1,0.998,0.997714285714286,1,0.996285714285714,1
2017,0.985428571428571,0.997714285714286,0.985428571428571,0.976571428571429,0.999428571428571,1,0.998285714285714,0.997714285714286,1,0.997142857142857,0.998857142857143
2018,0.981428571428571,0.997714285714286,0.985428571428571,0.976285714285714,0.998571428571429,1,0.998571428571429,0.996857142857143,1,0.997142857142857,0.995428571428571
2019,0.979428571428571,0.992857142857143,0.985142857142857,0.975714285714286,0.998,1,0.996571428571429,0.994,0.994571428571429,0.994,0.995142857142857
