year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2008,0.0476190476190476,0.142857142857143,0,0,0.0476190476190476,0,0.476190476190476,0.619047619047619,0,0.428571428571429,0
2009,0,0,0,0.111111111111111,0,0,0.5,0.5,0,0.111111111111111,0
2010,0,0.0357142857142857,0.0357142857142857,0.0714285714285714,0.0357142857142857,0,0.321428571428571,0.5,0.0357142857142857,0.571428571428571,0.0357142857142857
2011,0.032258064516129,0.0645161290322581,0,0.0645161290322581,0,0,0.387096774193548,0.483870967741935,0.032258064516129,0.483870967741935,0.0645161290322581
2012,0.166666666666667,0.0317460317460317,0.00793650793650794,0.222222222222222,0.0238095238095238,0,0.174603174603175,0.30952380952381,0.0158730158730159,0.507936507936508,0
2013,0.156626506024096,0.0542168674698795,0.0421686746987952,0.204819277108434,0.0301204819277108,0,0.13855421686747,0.367469879518072,0.0240963855421687,0.542168674698795,0.0120481927710843
2014,0.214285714285714,0.0238095238095238,0.0476190476190476,0.182539682539683,0.00793650793650794,0,0.166666666666667,0.277777777777778,0,0.753968253968254,0.0238095238095238
2015,0.1484375,0.03125,0.03125,0.1875,0,0,0.2265625,0.3125,0.0078125,0.6328125,0.0234375
2016,0.117647058823529,0.0882352941176471,0.0882352941176471,0.0588235294117647,0,0,0.205882352941176,0.323529411764706,0.0294117647058824,0.647058823529412,0.0588235294117647
2017,0.0769230769230769,0.0769230769230769,0,0,0,0,0.153846153846154,0.307692307692308,0,0.615384615384615,0.0769230769230769
2018,0,0.1,0.1,0.1,0,0,0,0.1,0,0.8,0
2019,0.103092783505155,0.0309278350515464,0.0515463917525773,0.0876288659793814,0.00515463917525773,0,0.077319587628866,0.252577319587629,0.00515463917525773,0.804123711340206,0.0154639175257732
2020,0.124031007751938,0.0155038759689922,0.0465116279069767,0.147286821705426,0,0.00775193798449612,0.0465116279069767,0.13953488372093,0,0.736434108527132,0.0310077519379845
