year,g0000,g0010,g0100,g0110,g1000,g1010,g1011,g1100,g1110,g1111
2008,225,2695,17,2200,0,0,0,0,0,0
2009,351,3179,13,2759,0,0,0,0,0,0
2010,306,3237,19,3385,0,0,0,0,0,0
2011,268,3456,24,3891,0,0,0,0,0,0
2012,187,1894,99,5603,0,0,0,0,0,0
2013,190,1287,128,6225,1,36,0,1,104,88
2014,233,1711,102,6008,1,55,0,0,154,105
2015,249,1832,104,5976,2,64,4,0,157,104
2016,173,2232,28,5609,1,102,8,1,254,76
2017,137,2240,10,5594,4,129,12,2,340,169
2018,137,2288,8,5390,3,103,73,1,206,514
2019,2,36,149,7593,0,1,0,1,367,757
2020,0,0,101,2709,0,0,0,12,1900,3532
